,profile_pic,team,position,first_name,last_name,rookie,bye
54,https://a.espncdn.com/i/headshots/nfl/players/full/2576434.png,baltimore_ravens,RB,Melvin,Gordon III,False,1
55,https://a.espncdn.com/i/headshots/nfl/players/full/4038441.png,baltimore_ravens,RB,Justice,Hill,False,1
56,https://a.espncdn.com/i/headshots/nfl/players/full/4596334.png,baltimore_ravens,RB,Keaton,Mitchell,False,1
57,https://a.espncdn.com/i/headshots/nfl/players/full/4249616.png,baltimore_ravens,RB,Owen,Wright,False,1
58,https://a.espncdn.com/i/headshots/nfl/players/full/2971618.png,baltimore_ravens,WR,Nelson,Agholor,False,1
59,https://a.espncdn.com/i/headshots/nfl/players/full/4360939.png,baltimore_ravens,WR,Rashod,Bateman,False,1
60,https://a.espncdn.com/i/headshots/nfl/players/full/16733.png,baltimore_ravens,WR,Odell,Beckham Jr.,False,1
61,https://a.espncdn.com/i/headshots/nfl/players/full/4039050.png,baltimore_ravens,WR,Devin,Duvernay,False,1
62,https://a.espncdn.com/i/headshots/nfl/players/full/4429615.png,baltimore_ravens,WR,Zay,Flowers,False,1
63,https://a.espncdn.com/i/headshots/nfl/players/full/4360972.png,baltimore_ravens,WR,Sean,Ryan,False,1
64,https://a.espncdn.com/i/headshots/nfl/players/full/3051889.png,baltimore_ravens,WR,Laquon,Treadwell,False,1
65,https://a.espncdn.com/i/headshots/nfl/players/full/4241424.png,baltimore_ravens,WR,Tylan,Wallace,False,1
66,https://a.espncdn.com/i/headshots/nfl/players/full/3116365.png,baltimore_ravens,TE,Mark,Andrews,False,1
67,https://a.espncdn.com/i/headshots/nfl/players/full/4241263.png,baltimore_ravens,TE,Charlie,Kolar,False,1
68,https://a.espncdn.com/i/headshots/nfl/players/full/4361050.png,baltimore_ravens,TE,Isaiah,Likely,False,1
69,https://a.espncdn.com/i/headshots/nfl/players/full/4259324.png,baltimore_ravens,TE,Travis,Vokolek,False,1
70,https://a.espncdn.com/i/headshots/nfl/players/full/3918298.png,buffalo_bills,QB,Josh,Allen,False,1
71,https://a.espncdn.com/i/headshots/nfl/players/full/3115293.png,buffalo_bills,QB,Kyle,Allen,False,1
72,https://a.espncdn.com/i/headshots/nfl/players/full/4039034.png,buffalo_bills,QB,Shane,Buechele,False,1
73,https://a.espncdn.com/i/headshots/nfl/players/full/4039505.png,buffalo_bills,RB,Reggie,Gilliam,False,1
74,https://a.espncdn.com/i/headshots/nfl/players/full/4379399.png,buffalo_bills,RB,James,Cook,False,1
75,https://a.espncdn.com/i/headshots/nfl/players/full/3925347.png,buffalo_bills,RB,Damien,Harris,False,1
76,https://a.espncdn.com/i/headshots/nfl/players/full/3915411.png,buffalo_bills,RB,Ty,Johnson,False,1
77,https://a.espncdn.com/i/headshots/nfl/players/full/15920.png,buffalo_bills,RB,Latavius,Murray,False,1
78,https://a.espncdn.com/i/headshots/nfl/players/full/3046320.png,buffalo_bills,WR,Marcell,Ateman,False,1
79,https://a.espncdn.com/i/headshots/nfl/players/full/4243537.png,buffalo_bills,WR,Gabe,Davis,False,1
80,https://a.espncdn.com/i/headshots/nfl/players/full/2976212.png,buffalo_bills,WR,Stefon,Diggs,False,1
81,https://a.espncdn.com/i/headshots/nfl/players/full/4411193.png,buffalo_bills,WR,Deonte,Harty,False,1
82,https://a.espncdn.com/i/headshots/nfl/players/full/3914328.png,buffalo_bills,WR,Andy,Isabella,False,1
83,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png,buffalo_bills,WR,Khalil,Shakir,False,1
84,https://a.espncdn.com/i/headshots/nfl/players/full/4241476.png,buffalo_bills,WR,Tyrell,Shavers,False,1
