,Season,id,Division,Logo,Name,Abbrev,Seed,Wins,Losses,Ties,%,PF,PA,ExpectedWins,PFonWins,PAonLosses,PFonLosses,PAonWins
28,2019,14,0,https://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,13,3,9,1,0.2692307692307692,957.9,1132.9,4.933333333333333,0,0,0,0
29,2019,15,2,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,3,8,5,0,0.6153846153846154,1080.0,1049.7,7.866666666666666,0,0,0,0
30,2019,16,2,https://scontent.frec5-1.fna.fbcdn.net/v/t1.0-9/42647793_1911801742231791_8353841562588807168_n.jpg?_nc_cat=111&oh=3751fb0c891ed5b59aded4c707712f08&oe=5C1DF581,Recife Burilzords,BZDS,7,7,5,1,0.5769230769230769,1053.1,947.5,6.333333333333334,0,0,0,0
31,2019,17,3,https://uploaddeimagens.com.br/images/001/725/567/full/logo.jpg?1542139515,Team Otavio,OTAV,12,6,7,0,0.4615384615384615,1215.6,1029.2,9.2,0,0,0,0
32,2020,1,0,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,2,10,3,0,0.7692307692307693,1004.2,856.4,7.466666666666666,0,0,0,0
33,2020,2,3,https://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-27.svg,Curado Sport Saints,CSS,9,6,7,0,0.4615384615384615,931.4999999999998,937.8,5.466666666666667,0,0,0,0
34,2020,3,3,https://g.espncdn.com/lm-static/logo-packs/ffl/ShieldsOfGlory-LDopa/ShieldsOfGlory-02.svg,Recife Black Mambas,JOAO,1,11,2,0,0.8461538461538461,1090.8,815.0,9.0,0,0,0,0
35,2020,4,2,https://cdn-std.dprcdn.net/files/acc_464038/pbLQg8,Bonus Team,BT,13,4,9,0,0.3076923076923077,1048.4,1175.8,7.4,0,0,0,0
36,2020,5,1,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,6,8,5,0,0.6153846153846154,978.4,911.0,6.6,0,0,0,0
37,2020,7,1,https://g.espncdn.com/lm-static/logo-packs/ffl/CreepShow-ToddDetwiler/CreepShow-11.svg,Valter Figueiredu's ,KAIO,14,4,9,0,0.3076923076923077,991.0,1044.7,6.466666666666667,0,0,0,0
38,2020,8,1,https://g.espncdn.com/lm-static/logo-packs/ffl/CrazyHelmets-ToddDetwiler/Helmets_11.svg,Igara  Boys ,IGB,3,9,4,0,0.6923076923076923,1167.4,979.9,9.6,0,0,0,0
39,2020,9,3,https://g.espncdn.com/lm-static/logo-packs/core/StarsAndFlames/stars_flames-2.svg,CDU Steamers,STM,10,5,8,0,0.3846153846153846,929.9,998.6,5.933333333333331,0,0,0,0
40,2020,10,0,https://upload.wikimedia.org/wikipedia/commons/7/72/Bras%C3%A3o_do_Estado_de_Pernambuco.png,KAISER TROOPERS,KATO,15,4,9,0,0.3076923076923077,766.9,1009.7,4.266666666666667,0,0,0,0
41,2020,11,2,https://g.espncdn.com/s/ffllm/logos/BoneHeads-ToddDetwiler/BoneHeads-09.svg,Carpina Carpenters,Carp,8,7,6,0,0.5384615384615384,1023.6,1059.0,7.466666666666667,0,0,0,0
42,2020,12,1,https://g.espncdn.com/lm-static/logo-packs/core/StarWarsTheRiseOfSkywalker/rise-skywalker-r2d2.svg,NE Opt outs,NE,12,5,8,0,0.3846153846153846,899.6,1072.3,5.199999999999999,0,0,0,0
43,2020,13,0,http://imagizer.imageshack.us/a/img922/1025/Qt8enM.jpg,Team Britto,BRIT,5,8,5,0,0.6153846153846154,1000.1,890.8999999999999,6.6000000000000005,0,0,0,0
44,2020,14,0,https://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,16,3,10,0,0.2307692307692307,974.2999999999998,1062.6999999999998,5.933333333333332,0,0,0,0
45,2020,15,2,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,7,7,6,0,0.5384615384615384,1188.6999999999998,1068.6,9.533333333333331,0,0,0,0
46,2020,16,2,https://scontent.frec5-1.fna.fbcdn.net/v/t1.0-9/42647793_1911801742231791_8353841562588807168_n.jpg?_nc_cat=111&oh=3751fb0c891ed5b59aded4c707712f08&oe=5C1DF581,Recife Burilzords,BZDS,4,8,5,0,0.6153846153846154,1155.6,1125.6999999999998,9.666666666666666,0,0,0,0
